eval_loss,eval_accuracy,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,model,split
0.45241668820381165,0.7823908375089478,0.781922525107604,6.0313,231.625,3.648,4.0,google-bert/bert-base-multilingual-cased,validation
0.4724922180175781,0.7671306209850107,0.7806354009077155,17.6621,211.526,3.34,4.0,google-bert/bert-base-multilingual-cased,test
0.5606304407119751,0.7079455977093773,0.6890243902439024,1.9376,721.004,7.742,4.0,kz-transformers/kaz-roberta-conversational,validation
0.575599193572998,0.6929871520342612,0.6937249666221628,5.6298,663.616,6.927,4.0,kz-transformers/kaz-roberta-conversational,test
0.5981760025024414,0.6936292054402291,0.6885007278020379,3.3305,419.461,6.606,4.0,amandyk/KazakhBERTmulti,validation
0.5948558449745178,0.691916488222698,0.7183753364325911,9.5425,391.51,6.183,4.0,amandyk/KazakhBERTmulti,test
0.4419846534729004,0.7931281317108089,0.7928315412186381,4.4082,316.91,4.991,5.0,intfloat/multilingual-e5-base,validation
0.44836169481277466,0.7853319057815846,0.8014851485148514,13.0348,286.618,4.526,5.0,intfloat/multilingual-e5-base,test
0.426507830619812,0.8017179670722978,0.8002883922134103,3.8799,360.06,11.34,5.0,sentence-transformers/LaBSE,validation
0.41818997263908386,0.8120985010706638,0.8186046511627908,11.2738,331.387,10.378,5.0,sentence-transformers/LaBSE,test
